"filename", "language", "C#", "JavaScript JSX", "JavaScript", "JSON", "PostCSS", "comment", "blank", "total"
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\apis\postApi.js", "JavaScript", 0, 0, 87, 0, 0, 42, 24, 153
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\components\Feed\CreatePost.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 2, 3, 33
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\components\Feed\MediaGallery.jsx", "JavaScript JSX", 0, 202, 0, 0, 0, 0, 15, 217
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\components\Feed\PostCard.jsx", "JavaScript JSX", 0, 277, 0, 0, 0, -14, 40, 303
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\components\Feed\PostComment.jsx", "JavaScript JSX", 0, 284, 0, 0, 0, 14, 28, 326
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\components\Feed\PostModal.jsx", "JavaScript JSX", 0, 182, 0, 0, 0, 0, 14, 196
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\components\Navbar\Navbar.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 2, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\components\Sidebar\LeftSidebar.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, -15, 2, 7
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\components\group\GroupAdminInsights.jsx", "JavaScript JSX", 0, 163, 0, 0, 0, 0, 9, 172
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\components\group\GroupAdminManage.jsx", "JavaScript JSX", 0, 265, 0, 0, 0, 0, 19, 284
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\components\group\GroupAdminSettings.jsx", "JavaScript JSX", 0, 64, 0, 0, 0, 0, 7, 71
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\components\group\GroupAdminSidebar.jsx", "JavaScript JSX", 0, 91, 0, 0, 0, 0, 5, 96
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\contexts\friendContext.jsx", "JavaScript JSX", 0, -44, 0, 0, 0, 0, -1, -45
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\data\groupMockData.js", "JavaScript", 0, 0, 171, 0, 0, 0, 11, 182
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\data\mockData.js", "JavaScript", 0, 0, 204, 0, 0, 0, 1, 205
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\data\reelsMockData.js", "JavaScript", 0, 0, 62, 0, 0, 0, 1, 63
