"filename", "language", "C#", "JSON", "JavaScript JSX", "JavaScript", "PostCSS", "Dotenv", "comment", "blank", "total"
"d:\SocialNetworkApp\SocialNetworkApp\src\Domain\obj\project.assets.json", "JSON", 0, 2, 0, 0, 0, 0, 0, 0, 2
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\DependencyInjection.cs", "C#", 3, 0, 0, 0, 0, 0, 0, 0, 3
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260604120513_updb18.Designer.cs", "C#", 1373, 0, 0, 0, 0, 0, 2, 557, 1932
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260604120513_updb18.cs", "C#", 32, 0, 0, 0, 0, 0, 3, 6, 41
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260605095716_updb19.Designer.cs", "C#", 1373, 0, 0, 0, 0, 0, 2, 557, 1932
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260605095716_updb19.cs", "C#", 26, 0, 0, 0, 0, 0, 3, 6, 35
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260605145532_updb20.Designer.cs", "C#", 1520, 0, 0, 0, 0, 0, 2, 618, 2140
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260605145532_updb20.cs", "C#", 542, 0, 0, 0, 0, 0, 3, 107, 652
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260606090017_updb21.Designer.cs", "C#", 1564, 0, 0, 0, 0, 0, 2, 636, 2202
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260606090017_updb21.cs", "C#", 74, 0, 0, 0, 0, 0, 3, 10, 87
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260606090018_updb22.Designer.cs", "C#", 122, 0, 0, 0, 0, 0, 2, 44, 168
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260606090018_updb22.cs", "C#", 75, 0, 0, 0, 0, 0, 5, 11, 91
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260607014653_updb23.Designer.cs", "C#", 1623, 0, 0, 0, 0, 0, 2, 660, 2285
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260607014653_updb23.cs", "C#", 851, 0, 0, 0, 0, 0, 3, 176, 1030
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260607015733_updb24.Designer.cs", "C#", 1666, 0, 0, 0, 0, 0, 2, 677, 2345
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\20260607015733_updb24.cs", "C#", 55, 0, 0, 0, 0, 0, 3, 6, 64
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Migrations\AppDbContextModelSnapshot.cs", "C#", 293, 0, 0, 0, 0, 0, 0, 120, 413
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Persistence\Configurations\GroupConfiguration.cs", "C#", -3, 0, 0, 0, 0, 0, 0, -1, -4
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Persistence\Configurations\PostConfiguration.cs", "C#", 4, 0, 0, 0, 0, 0, -1, 2, 5
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Persistence\Configurations\ReelCommentConfiguration.cs", "C#", 49, 0, 0, 0, 0, 0, 0, 16, 65
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Persistence\Configurations\ReelConfiguration.cs", "C#", 60, 0, 0, 0, 0, 0, 0, 20, 80
"d:\SocialNetworkApp\SocialNetworkApp\src\Infrastructure\Persistence\Configurations\ReelReactionConfiguration.cs", "C#", 32, 0, 0, 0, 0, 0, 0, 10, 42
